02 9 0 0 25 5170 4 31 102 0 1,27 S VI
02 9 0 0 25 5170 5 31 102 0 0,35 S VI
02 9 0 0 25 5170 7 31 102 0 0,03 S VI
02 9 0 0 25 5170 8 31 102 0 0,70 S VI
02 9 0 0 25 5171 1 31 102 0 1,46 S VI
02 9 0 0 25 5171 5 31 102 0 0,87 S VI
02 9 0 0 25 5171 6 31 102 0 0,38 S VI
02 9 0 0 25 5171 7 57 335 0 0,04 S TA
02 9 0 0 25 5171 8 31 102 0 0,85 S VI
02 9 0 0 25 5171 9 31 102 0 0,06 S VI
02 9 0 0 522 5113 3 1 20 0 0,12 S TA
02 9 0 0 522 5117 1 15 101 10 0,04 S OV
02 9 0 0 522 5118 2 15 101 10 0,25 S OV
02 9 0 0 522 5122 7 20 101 10 1,94 S OV
02 9 0 0 522 5122 13 78 358 0 0,26 S FO
02 9 0 0 522 5122 15 2 20 0 0,13 S OV
02 9 0 0 522 5122 16 13 101 10 0,09 S OV
02 9 0 0 522 5122 20 3 20 0 0,10 S OV
02 9 0 0 522 5122 21 16 101 10 0,06 S OV
02 9 0 0 522 5122 23 67 358 0 0,05 S FO
02 9 0 0 522 5122 28 63 358 0 0,01 S FO
02 9 0 0 522 5122 30 83 358 0 0,01 S FO
02 9 0 0 522 5122 32 66 358 0 0,01 S FO
02 9 0 0 522 5131 14 20 101 10 0,20 S OV
02 9 0 0 522 5131 20 72 358 0 0,10 S FO
02 9 0 0 522 15124 2 46 104 7 0,08 S FS
46 130 0 0 17 3 1 37 102 0 0,33 S VI
46 130 0 0 17 3 2 37 102 0 0,80 S VI
46 130 0 0 17 3 3 38 102 0 0,36 S VI
46 130 0 0 17 7 1 27 102 0 1,82 R VI
46 130 0 0 17 7 5 37 102 0 0,30 S VI
46 130 0 0 17 8 1 42 102 0 0,11 S VI
46 130 0 0 17 8 18 36 102 0 0,01 S VI
46 130 0 0 17 10 1 29 102 0 1,01 S VI
46 130 0 0 17 10 3 30 102 0 0,27 S VI
46 130 0 0 17 10 9 29 102 0 0,06 S EP
46 130 0 0 17 60003 5 27 102 0 0,04 R VI
